Wavelength,INOK-1,INOK-2,INOK-3,INOK-4,INOK-5,YD10B-1,YD10B-2,YD10B-3,YD10B-4,YD10B-5
11.25,0.273661103,0.24028791,0.212671684,0.153367774,0.115833042,0.03644532,0.033145426,0.031661946,0.025557748,0.024551591
11.25015,0.273914669,0.240496856,0.212845925,0.153474945,0.115903682,0.036573295,0.033256693,0.031765954,0.02563364,0.024623132
11.2503,0.274168582,0.24070607,0.213020377,0.153582225,0.115974385,0.036701916,0.033368496,0.031870453,0.025709854,0.024694972
11.25045,0.274422841,0.240915552,0.213195038,0.153689616,0.116045151,0.03683119,0.03348084,0.031975445,0.025786392,0.024767111
11.2506,0.274677448,0.241125302,0.213369911,0.153797116,0.11611598,0.036961119,0.033593727,0.032080935,0.025863256,0.024839551
11.25075,0.274932403,0.241335321,0.213544994,0.153904727,0.116186873,0.037091709,0.033707162,0.032186924,0.025940448,0.024912294
11.2509,0.275187707,0.241545609,0.213720288,0.154012449,0.116257829,0.037222963,0.033821148,0.032293417,0.02601797,0.024985341
11.25105,0.275443361,0.241756167,0.213895795,0.154120281,0.116328848,0.037354886,0.033935688,0.032400416,0.026095823,0.025058695
11.2512,0.275699364,0.241966996,0.214071513,0.154228224,0.11639993,0.037487483,0.034050785,0.032507924,0.026174009,0.025132356
11.25135,0.275955718,0.242178095,0.214247444,0.154336277,0.116471076,0.037620758,0.034166445,0.032615945,0.02625253,0.025206327
11.2515,0.276212423,0.242389465,0.214423587,0.154444442,0.116542286,0.037754716,0.034282669,0.032724482,0.026331389,0.02528061
11.25165,0.276469481,0.242601107,0.214599943,0.154552718,0.116613559,0.037889361,0.034399462,0.032833537,0.026410586,0.025355205
11.2518,0.276726891,0.242813021,0.214776513,0.154661105,0.116684897,0.038024698,0.034516827,0.032943115,0.026490125,0.025430115
11.25195,0.276984654,0.243025208,0.214953296,0.154769604,0.116756298,0.038160731,0.034634768,0.033053219,0.026570006,0.025505342
11.2521,0.277242771,0.243237667,0.215130294,0.154878214,0.116827762,0.038297466,0.034753289,0.033163852,0.026650232,0.025580886
11.25225,0.277501242,0.2434504,0.215307506,0.154986936,0.116899291,0.038434908,0.034872394,0.033275016,0.026730804,0.025656751
11.2524,0.277760069,0.243663407,0.215484932,0.15509577,0.116970884,0.03857306,0.034992086,0.033386717,0.026811726,0.025732938
11.25255,0.278019251,0.243876689,0.215662574,0.155204716,0.117042541,0.038711927,0.035112369,0.033498956,0.026892998,0.025809448
11.2527,0.27827879,0.244090245,0.215840431,0.155313774,0.117114262,0.038851516,0.035233246,0.033611738,0.026974622,0.025886283
11.25285,0.278538686,0.244304077,0.216018504,0.155422945,0.117186047,0.03899183,0.035354723,0.033725066,0.027056601,0.025963446
11.253,0.27879894,0.244518185,0.216196793,0.155532228,0.117257897,0.039132874,0.035476802,0.033838943,0.027138937,0.026040937
11.25315,0.279059553,0.244732568,0.216375298,0.155641624,0.117329811,0.039274654,0.035599488,0.033953373,0.027221632,0.02611876
11.2533,0.279320524,0.244947229,0.216554021,0.155751133,0.11740179,0.039417175,0.035722785,0.03406836,0.027304687,0.026196915
11.25345,0.279581855,0.245162167,0.21673296,0.155860755,0.117473833,0.039560441,0.035846696,0.034183906,0.027388105,0.026275404
11.2536,0.279843546,0.245377383,0.216912117,0.15597049,0.117545941,0.039704458,0.035971225,0.034300016,0.027471888,0.026354231
11.25375,0.280105599,0.245592877,0.217091492,0.156080339,0.117618114,0.039849232,0.036096378,0.034416693,0.027556038,0.026433395
11.2539,0.280368013,0.245808649,0.217271085,0.1561903,0.117690351,0.039994766,0.036222157,0.034533941,0.027640557,0.0265129
11.25405,0.28063079,0.246024701,0.217450897,0.156300376,0.117762654,0.040141067,0.036348567,0.034651763,0.027725448,0.026592746
11.2542,0.280893929,0.246241032,0.217630927,0.156410565,0.117835021,0.04028814,0.036475612,0.034770164,0.027810711,0.026672937
11.25435,0.281157432,0.246457644,0.217811177,0.156520868,0.117907453,0.04043599,0.036603297,0.034889146,0.027896351,0.026753474
11.2545,0.2814213,0.246674536,0.217991646,0.156631286,0.117979951,0.040584622,0.036731625,0.035008714,0.027982368,0.026834359
11.25465,0.281685533,0.246891709,0.218172336,0.156741817,0.118052514,0.040734043,0.036860601,0.035128872,0.028068765,0.026915594
11.2548,0.281950131,0.247109164,0.218353246,0.156852463,0.118125142,0.040884257,0.036990228,0.035249623,0.028155543,0.026997181
11.25495,0.282215096,0.2473269,0.218534376,0.156963224,0.118197835,0.04103527,0.037120513,0.035370971,0.028242707,0.027079122
11.2551,0.282480427,0.24754492,0.218715728,0.157074099,0.118270594,0.041187088,0.037251458,0.03549292,0.028330257,0.027161418
11.25525,0.282746127,0.247763222,0.2188973,0.157185089,0.118343418,0.041339716,0.037383068,0.035615474,0.028418195,0.027244073
11.2554,0.283012195,0.247981808,0.219079095,0.157296195,0.118416308,0.041493161,0.037515348,0.035738637,0.028506525,0.027327088
11.25555,0.283278632,0.248200678,0.219261112,0.157407415,0.118489263,0.041647427,0.037648302,0.035862412,0.028595248,0.027410465
11.2557,0.283545438,0.248419832,0.219443351,0.157518751,0.118562284,0.041802521,0.037781935,0.035986805,0.028684366,0.027494206
11.25585,0.283812615,0.248639271,0.219625813,0.157630202,0.118635371,0.041958448,0.037916251,0.036111819,0.028773883,0.027578313
11.256,0.284080164,0.248858996,0.219808499,0.157741769,0.118708524,0.042115215,0.038051255,0.036237457,0.0288638,0.027662789
11.25615,0.284348083,0.249079006,0.219991408,0.157853452,0.118781743,0.042272827,0.038186951,0.036363725,0.028954119,0.027747635
11.2563,0.284616376,0.249299304,0.220174541,0.157965251,0.118855028,0.04243129,0.038323345,0.036490626,0.029044844,0.027832854
11.25645,0.284885042,0.249519888,0.220357898,0.158077166,0.118928379,0.04259061,0.03846044,0.036618164,0.029135976,0.027918447
11.2566,0.285154081,0.249740759,0.22054148,0.158189197,0.119001796,0.042750795,0.038598242,0.036746345,0.029227518,0.028004418
11.25675,0.285423495,0.249961919,0.220725287,0.158301345,0.11907528,0.042911848,0.038736755,0.036875171,0.029319472,0.028090767
11.2569,0.285693284,0.250183367,0.220909319,0.158413609,0.11914883,0.043073778,0.038875985,0.037004647,0.02941184,0.028177498
11.25705,0.28596345,0.250405103,0.221093577,0.15852599,0.119222446,0.04323659,0.039015936,0.037134778,0.029504626,0.028264612
11.2572,0.286233991,0.25062713,0.221278061,0.158638489,0.119296129,0.04340029,0.039156612,0.037265567,0.029597831,0.028352112
11.25735,0.286504911,0.250849446,0.221462772,0.158751104,0.119369879,0.043564885,0.03929802,0.03739702,0.029691459,0.02844
11.2575,0.286776208,0.251072053,0.221647709,0.158863836,0.119443695,0.043730382,0.039440164,0.037529141,0.029785511,0.028528279
11.25765,0.287047884,0.25129495,0.221832874,0.158976686,0.119517578,0.043896786,0.039583049,0.037661933,0.02987999,0.028616949
11.2578,0.287319939,0.251518139,0.222018266,0.159089654,0.119591528,0.044064105,0.03972668,0.037795403,0.029974898,0.028706015
11.25795,0.287592374,0.25174162,0.222203886,0.159202739,0.119665544,0.044232345,0.039871062,0.037929553,0.030070239,0.028795478
11.2581,0.28786519,0.251965393,0.222389735,0.159315943,0.119739628,0.044401512,0.0400162,0.03806439,0.030166015,0.02888534
11.25825,0.288138388,0.25218946,0.222575812,0.159429264,0.119813779,0.044571614,0.040162101,0.038199916,0.030262229,0.028975604
11.2584,0.288411968,0.25241382,0.222762119,0.159542704,0.119887997,0.044742657,0.040308768,0.038336138,0.030358882,0.029066272
11.25855,0.288685931,0.252638474,0.222948655,0.159656262,0.119962282,0.044914648,0.040456207,0.03847306,0.030455978,0.029157346
11.2587,0.288960278,0.252863422,0.223135421,0.159769938,0.120036635,0.045087595,0.040604425,0.038610686,0.030553519,0.02924883
11.25885,0.289235009,0.253088665,0.223322416,0.159883734,0.120111055,0.045261503,0.040753425,0.038749021,0.030651509,0.029340725
11.259,0.289510125,0.253314204,0.223509643,0.159997648,0.120185542,0.04543638,0.040903213,0.03888807,0.030749949,0.029433033
